PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,GP,Impact,Impact_Final
Sandro Mamukelashvili,TOR,21.9,11.1,4.9,1.9,78,24.44,3.76
Santi Aldama,MEM,27.9,14.0,6.7,2.9,43,32.08,4.94
Scoot Henderson,POR,24.6,14.4,2.8,3.8,28,29.72,4.57
Scottie Barnes,TOR,33.5,18.1,7.5,5.9,78,43.0,6.62
Shaedon Sharpe,POR,30.0,21.4,4.4,2.6,48,37.81999999999999,5.82
Shai Gilgeous-Alexander,OKC,33.2,31.1,4.3,6.6,68,54.4,8.37
Sharife Cooper,WAS,16.7,7.7,2.1,2.8,39,18.589999999999996,2.86
Sidy Cissoko,POR,19.6,5.2,2.3,1.5,73,15.169999999999998,2.33
Simone Fontecchio,MIA,16.6,8.3,3.0,1.4,69,17.78,2.74
Sion James,CHA,22.6,5.4,3.5,2.0,80,17.98,2.77
Spencer Jones,DEN,22.1,5.5,3.3,0.8,64,15.969999999999999,2.46
Stephen Curry,GSW,31.0,27.0,3.5,4.8,41,46.3,7.12
Stephon Castle,SAS,30.0,16.8,5.2,7.4,67,41.06,6.32
Steven Adams,HOU,22.8,5.8,8.6,1.5,32,21.77,3.35
Svi Mykhailiuk,UTA,23.1,9.4,2.5,1.9,50,21.18,3.26
T.J. McConnell,IND,17.2,9.4,2.2,5.1,56,23.970000000000002,3.69
Taelon Peter,IND,12.7,4.4,1.6,1.1,36,11.14,1.71
Tari Eason,HOU,25.9,10.5,6.3,1.5,58,25.56,3.93
Taurean Prince,MIL,22.7,8.6,2.8,1.6,24,20.05,3.08
Taylor Hendricks,MEM,19.0,7.4,3.7,0.9,59,17.41,2.68
Terance Mann,BKN,24.3,7.2,3.2,3.0,63,21.55,3.32
Terrence Shannon Jr.,MIN,11.6,4.7,1.1,0.8,41,10.26,1.58
Thanasis Antetokounmpo,MIL,3.7,1.2,0.8,0.3,33,3.4000000000000004,0.52
Thomas Bryant,CLE,12.2,6.2,3.4,0.6,60,13.48,2.07
Tidjane Salaün,CHA,15.9,6.2,4.1,0.8,36,15.45,2.38
Tim Hardaway Jr.,DEN,26.6,13.5,2.6,1.3,79,25.51,3.92
Tobias Harris,DET,27.8,13.2,5.1,2.6,61,29.52,4.54
Tony Bradley,ATL,10.8,3.9,2.8,0.5,39,10.13,1.56
Toumani Camara,POR,33.3,13.5,5.2,2.5,80,31.4,4.83
Trayce Jackson-Davis,TOR,9.4,3.4,2.7,0.8,52,9.58,1.47
Tre Johnson,WAS,24.0,12.2,2.8,2.0,60,24.639999999999997,3.79
Tre Jones,CHI,27.1,14.0,3.1,5.5,63,32.86,5.06
Tre Mann,CHA,13.0,5.7,1.8,1.7,51,13.59,2.09
Trendon Watford,PHI,16.5,6.6,3.3,2.5,52,17.94,2.76
Trey Murphy III,NOP,35.5,21.5,5.7,3.8,66,42.41,6.52
Tristan Vukcevic,WAS,13.7,9.0,3.0,1.1,49,17.16,2.64
Tristan da Silva,ORL,24.7,10.0,3.7,1.5,75,22.62,3.48
Tyler Herro,MIA,31.6,21.0,4.6,4.0,32,40.16,6.18
Tyler Kolek,NYK,11.7,4.4,1.6,2.7,62,13.24,2.04
Tyrese Martin,PHI,17.2,6.4,2.6,1.7,45,16.189999999999998,2.49
Tyrese Maxey,PHI,38.2,28.3,4.1,6.7,68,53.09,8.17
Tyrese Proctor,CLE,10.4,4.9,1.1,1.3,48,10.850000000000001,1.67
Tyson Etienne,BKN,14.1,6.6,1.0,1.5,22,13.879999999999999,2.14
Tyus Jones,DEN,14.4,2.8,1.0,2.3,65,11.370000000000001,1.75
VJ Edgecombe,PHI,35.0,16.1,5.6,4.1,73,37.230000000000004,5.73
Victor Wembanyama,SAS,29.2,24.8,11.5,3.1,63,47.410000000000004,7.29
Vince Williams Jr.,UTA,20.5,7.5,3.9,4.2,40,23.07,3.55
Vít Krejčí,POR,21.7,8.6,2.3,1.6,64,19.35,2.98
Walter Clayton Jr.,MEM,20.4,7.8,2.0,4.0,69,21.52,3.31
Wendell Carter Jr.,ORL,29.4,11.9,7.4,2.0,76,29.64,4.56
Will Richard,GSW,20.2,6.6,2.5,1.4,67,16.759999999999998,2.58
Will Riley,WAS,21.8,10.3,2.8,1.9,72,21.93,3.37
Xavier Tillman,CHA,6.2,1.4,1.4,0.4,29,4.98,0.77
Yang Hansen,POR,7.2,2.3,1.6,0.5,41,6.49,1.0
Yanic Konan Niederhäuser,LAC,10.3,4.3,2.9,0.3,41,10.16,1.56
Yves Missi,NOP,19.7,5.7,5.8,1.3,66,18.2,2.8
Zaccharie Risacher,ATL,22.5,9.6,3.8,1.1,65,21.04,3.24
Zach LaVine,SAC,31.4,19.2,2.8,2.3,39,34.309999999999995,5.28
Zeke Nnaji,DEN,11.8,3.6,2.6,0.5,50,9.969999999999999,1.53
Ziaire Williams,BKN,22.9,10.2,2.4,1.1,56,20.64,3.18
Zion Williamson,NOP,29.7,21.0,5.7,3.2,62,39.269999999999996,6.04
